row,col,Well,Flight,Unit,Board,Inhibitor,Supply.I.mA,Time,Parabola,Construct,LED.trigger,Condition,ConversionRate,IntegratedIntensity,RedMeanIntensity,Green_Red_Mean_Intensity,Green_Red_Mean_Intensity_norm_Green_Mean_Intensity,Temp.Board.1,Temp.Board.2,Temp.LED,Pressure.mbar,Gravity.X.mg,Gravity.Y.mg,Gravity.Z.mg,Supply.U.mV
A,1,A1,1,101,1,None,NA,NA,1,CaMPARI2,NA,Histamine,0,0,0.6119577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,101,2,Gd3+,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,102,1,Thapsigargin,NA,NA,1,CaMPARI2,NA,Histamine,0.04552103,283.4227,0.7363685,0.6100615,0.02686425,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,102,2,Flunarizine,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0.55669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,103,1,Ruthenium Red,NA,NA,1,CaMPARI2,NA,Histamine,0.3539037,768.0543,0.9051898,0.7115151,0.02796409,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,103,2,GSK2193874,NA,NA,1,CaMPARI2,NA,Histamine,0.2528325,531.6971,0.8293754,0.6589022,0.02641421,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,104,1,BAPTA,NA,NA,1,CaMPARI2,NA,Histamine,NA,323.3733,0.7445598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,104,2,DMSO,NA,NA,1,CaMPARI2,NA,Histamine,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,101,1,None,NA,NA,1,CaMPARI2,NA,Histamine,0.3530375,1009.732,1.156004,0.9685324,0.03890385,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,101,2,Gd3+,NA,NA,1,CaMPARI2,NA,Histamine,0.3760412,1027.172,1.10336,0.9192437,0.03642318,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,102,1,Thapsigargin,NA,NA,1,CaMPARI2,NA,Histamine,0.1275555,507.7068,0.9199917,0.7153735,0.03149841,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,102,2,Flunarizine,NA,NA,1,CaMPARI2,NA,Histamine,0.04827876,693.4728,1.350948,1.223381,0.03805279,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,103,1,Ruthenium Red,NA,NA,1,CaMPARI2,NA,Histamine,0.3677933,850.4019,0.9535446,0.763661,0.02932133,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,103,2,GSK2193874,NA,NA,1,CaMPARI2,NA,Histamine,0.2774061,1309.048,0.9997727,0.8623366,0.02625442,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,104,1,BAPTA,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,104,2,DMSO,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,101,1,None,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,101,2,Gd3+,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,102,1,Thapsigargin,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,102,2,Flunarizine,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,103,1,Ruthenium Red,NA,NA,1,CaMPARI2,NA,Histamine,0.3761632,842.6504,1.014038,0.8543852,0.03395719,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,103,2,GSK2193874,NA,NA,1,CaMPARI2,NA,Histamine,0.2998738,770.5536,1.018882,0.8268329,0.03394683,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,104,1,BAPTA,NA,NA,1,CaMPARI2,NA,Histamine,0.009150265,100.6609,0.6472171,0.4599374,0.01832919,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,104,2,DMSO,NA,NA,1,CaMPARI2,NA,Histamine,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,10,A10,1,101,1,None,NA,NA,1,CaMPARI2-F391W,2,Pre-Parabola,0.09949769,294.1878,0.7747433,0.591637,0.01939392,NA,NA,NA,NA,NA,NA,NA,NA
A,10,A10,1,101,2,Gd3+,NA,NA,1,CaMPARI2-F391W,2,Pre-Parabola,0.1027124,336.2027,0.8234647,0.6296235,0.01833153,NA,NA,NA,NA,NA,NA,NA,NA
A,10,A10,1,102,1,Thapsigargin,611.4775,2021-06-17 09:41:28,1,CaMPARI2-F391W,2,Pre-Parabola,0.1726866,1754.365,2.115893,1.893062,0.07152591,36.59375,36.58275,34.69825,1073,10.88,25.565,1069.0075,23652.6825
A,10,A10,1,102,2,Flunarizine,611.4775,2021-06-17 09:41:28,1,CaMPARI2-F391W,2,Pre-Parabola,0.09999277,608.0612,1.16844,0.9850506,0.02994567,36.59375,36.58275,34.69825,1073,10.88,25.565,1069.0075,23652.6825
A,10,A10,1,103,1,Ruthenium Red,592.4775,2021-06-17 09:41:29,1,CaMPARI2-F391W,2,Pre-Parabola,0.105358,298.5311,0.7671233,0.5553074,0.01733194,36.49,36.4515,33.956,1033.675,0.8775,-1.47,1033.755,23785.68
A,10,A10,1,103,2,GSK2193874,592.4775,2021-06-17 09:41:29,1,CaMPARI2-F391W,2,Pre-Parabola,0.1687621,428.1205,0.9409851,0.684242,0.02256334,36.49,36.4515,33.956,1033.675,0.8775,-1.47,1033.755,23785.68
A,10,A10,1,104,1,BAPTA,610.69,2021-06-17 09:41:29,1,CaMPARI2-F391W,2,Pre-Parabola,0.08330652,301.7719,0.7636997,0.576909,0.01465382,36.34275,36.4315,33.7375,1065,-11.975,1.76,1036.69,23573.85
A,10,A10,1,104,2,DMSO,610.69,2021-06-17 09:41:29,1,CaMPARI2-F391W,2,Pre-Parabola,0.1030097,264.5527,0.8161787,0.6335387,0.01835037,36.34275,36.4315,33.7375,1065,-11.975,1.76,1036.69,23573.85
A,10,A10,2,101,1,None,597.425,2021-06-17 09:39:18,1,CaMPARI2-F391W,2,Pre-Parabola,0.1570551,308.1325,0.806354,0.6168925,0.0169011,36.518,36.424,34.33075,1024,4.16,17.0575,1065.8825,23756.7
