col,LED.trigger,Well,Flight,Unit,Board,Inhibitor,Parabola,Construct,ConversionRate,Temp.Board.1,Temp.Board.2,Temp.LED,Pressure.mbar,Gravity.X.mg,Gravity.Y.mg,Gravity.Z.mg,Supply.U.mV,Supply.I.mA,Time,Treatment
1,NA,A1,1,101,1,None,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,1,101,2,Gd3+,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,1,102,1,Thapsigargin,1,CaMPARI2,0.1208131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,1,102,2,Flunarizine,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,1,103,1,Ruthenium Red,1,CaMPARI2,0.5185285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,1,103,2,GSK2193874,1,CaMPARI2,0.3431316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,1,104,1,BAPTA,1,CaMPARI2,0.04840289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,1,104,2,DMSO,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,2,101,1,None,1,CaMPARI2,0.4943311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,2,101,2,Gd3+,1,CaMPARI2,0.567502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,2,102,1,Thapsigargin,1,CaMPARI2,0.2081341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,2,102,2,Flunarizine,1,CaMPARI2,0.06523345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,2,103,1,Ruthenium Red,1,CaMPARI2,0.5443006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,2,103,2,GSK2193874,1,CaMPARI2,0.3814712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,2,104,1,BAPTA,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,2,104,2,DMSO,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,3,101,1,None,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,3,101,2,Gd3+,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,3,102,1,Thapsigargin,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,3,102,2,Flunarizine,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,3,103,1,Ruthenium Red,1,CaMPARI2,0.5239254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,3,103,2,GSK2193874,1,CaMPARI2,0.4524583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,3,104,1,BAPTA,1,CaMPARI2,0.02454145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
1,NA,A1,3,104,2,DMSO,1,CaMPARI2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Histamine
10,2,A10,1,101,1,None,1,CaMPARI2-F391W,0.1855693,36.49975,36.49725,34.18225,1029,-9.9725,5.915,1042.765,23733.93,599.2925,2021-05-27 09:41:28,Normal-G
10,2,A10,1,101,2,Gd3+,1,CaMPARI2-F391W,0.2043466,36.49975,36.49725,34.18225,1029,-9.9725,5.915,1042.765,23733.93,599.2925,2021-05-27 09:41:28,Normal-G
10,2,A10,1,102,1,Thapsigargin,1,CaMPARI2-F391W,0.307189,36.59375,36.58275,34.69825,1073,10.88,25.565,1069.0075,23652.6825,611.4775,2021-05-27 09:41:28,Normal-G
10,2,A10,1,102,2,Flunarizine,1,CaMPARI2-F391W,0.2157968,36.59375,36.58275,34.69825,1073,10.88,25.565,1069.0075,23652.6825,611.4775,2021-05-27 09:41:28,Normal-G
10,2,A10,1,103,1,Ruthenium Red,1,CaMPARI2-F391W,0.2597164,36.49,36.4515,33.956,1033.675,0.8775,-1.47,1033.755,23785.68,592.4775,2021-05-27 09:41:29,Normal-G
10,2,A10,1,103,2,GSK2193874,1,CaMPARI2-F391W,0.2902091,36.49,36.4515,33.956,1033.675,0.8775,-1.47,1033.755,23785.68,592.4775,2021-05-27 09:41:29,Normal-G
