row,col,Well,Flight,Unit,Board,Inhibitor,Parabola,Construct,LED.trigger,Condition,IntegratedIntensity,Temp.Board.1,Temp.Board.2,Temp.LED,Pressure.mbar,Gravity.X.mg,Gravity.Y.mg,Gravity.Z.mg,Supply.U.mV,Supply.I.mA,Time
A,1,A1,1,101,1,None,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,101,2,Gd3+,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,102,1,Thapsigargin,1,CaMPARI2,NA,Histamine,283.4227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,102,2,Flunarizine,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,103,1,Ruthenium Red,1,CaMPARI2,NA,Histamine,768.0543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,103,2,GSK2193874,1,CaMPARI2,NA,Histamine,531.6971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,104,1,BAPTA,1,CaMPARI2,NA,Histamine,323.3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,1,104,2,DMSO,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,101,1,None,1,CaMPARI2,NA,Histamine,1009.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,101,2,Gd3+,1,CaMPARI2,NA,Histamine,1027.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,102,1,Thapsigargin,1,CaMPARI2,NA,Histamine,507.7068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,102,2,Flunarizine,1,CaMPARI2,NA,Histamine,693.4728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,103,1,Ruthenium Red,1,CaMPARI2,NA,Histamine,850.4019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,103,2,GSK2193874,1,CaMPARI2,NA,Histamine,1309.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,104,1,BAPTA,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,2,104,2,DMSO,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,101,1,None,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,101,2,Gd3+,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,102,1,Thapsigargin,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,102,2,Flunarizine,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,103,1,Ruthenium Red,1,CaMPARI2,NA,Histamine,842.6504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,103,2,GSK2193874,1,CaMPARI2,NA,Histamine,770.5536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,104,1,BAPTA,1,CaMPARI2,NA,Histamine,100.6609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,A1,3,104,2,DMSO,1,CaMPARI2,NA,Histamine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,10,A10,1,101,1,None,1,CaMPARI2-F391W,2,Pre-Parabola,294.1878,36.49975,36.49725,34.18225,1029,-9.9725,5.915,1042.765,23733.93,599.2925,2021-05-31 09:41:28
A,10,A10,1,101,2,Gd3+,1,CaMPARI2-F391W,2,Pre-Parabola,336.2027,36.49975,36.49725,34.18225,1029,-9.9725,5.915,1042.765,23733.93,599.2925,2021-05-31 09:41:28
A,10,A10,1,102,1,Thapsigargin,1,CaMPARI2-F391W,2,Pre-Parabola,1754.365,36.59375,36.58275,34.69825,1073,10.88,25.565,1069.0075,23652.6825,611.4775,2021-05-31 09:41:28
A,10,A10,1,102,2,Flunarizine,1,CaMPARI2-F391W,2,Pre-Parabola,608.0612,36.59375,36.58275,34.69825,1073,10.88,25.565,1069.0075,23652.6825,611.4775,2021-05-31 09:41:28
A,10,A10,1,103,1,Ruthenium Red,1,CaMPARI2-F391W,2,Pre-Parabola,298.5311,36.49,36.4515,33.956,1033.675,0.8775,-1.47,1033.755,23785.68,592.4775,2021-05-31 09:41:29
A,10,A10,1,103,2,GSK2193874,1,CaMPARI2-F391W,2,Pre-Parabola,428.1205,36.49,36.4515,33.956,1033.675,0.8775,-1.47,1033.755,23785.68,592.4775,2021-05-31 09:41:29
A,10,A10,1,104,1,BAPTA,1,CaMPARI2-F391W,2,Pre-Parabola,301.7719,36.34275,36.4315,33.7375,1065,-11.975,1.76,1036.69,23573.85,610.69,2021-05-31 09:41:29
A,10,A10,1,104,2,DMSO,1,CaMPARI2-F391W,2,Pre-Parabola,264.5527,36.34275,36.4315,33.7375,1065,-11.975,1.76,1036.69,23573.85,610.69,2021-05-31 09:41:29
A,10,A10,2,101,1,None,1,CaMPARI2-F391W,2,Pre-Parabola,308.1325,36.518,36.424,34.33075,1024,4.16,17.0575,1065.8825,23756.7,597.425,2021-05-31 09:39:18
A,10,A10,2,101,2,Gd3+,1,CaMPARI2-F391W,2,Pre-Parabola,268.9935,36.518,36.424,34.33075,1024,4.16,17.0575,1065.8825,23756.7,597.425,2021-05-31 09:39:18
A,10,A10,2,102,1,Thapsigargin,1,CaMPARI2-F391W,2,Pre-Parabola,638.7682,36.53625,36.517,34.443,1070,13.4325,38.01,1095.725,23733.93,609.5225,2021-05-31 09:39:17
A,10,A10,2,102,2,Flunarizine,1,CaMPARI2-F391W,2,Pre-Parabola,240.4407,36.53625,36.517,34.443,1070,13.4325,38.01,1095.725,23733.93,609.5225,2021-05-31 09:39:17
A,10,A10,2,103,1,Ruthenium Red,1,CaMPARI2-F391W,2,Pre-Parabola,594.1292,36.477,36.52625,34.36025,1032,6.5425,3.135,1070.0475,23721.395,593.9275,2021-05-31 09:39:18
A,10,A10,2,103,2,GSK2193874,1,CaMPARI2-F391W,2,Pre-Parabola,544.7932,36.477,36.52625,34.36025,1032,6.5425,3.135,1070.0475,23721.395,593.9275,2021-05-31 09:39:18
A,10,A10,2,104,1,BAPTA,1,CaMPARI2-F391W,2,Pre-Parabola,251.9896,36.43775,36.50075,34.1735,1060,-5.3275,10.0275,1067.245,23590.755,610.485,2021-05-31 09:39:17
A,10,A10,2,104,2,DMSO,1,CaMPARI2-F391W,2,Pre-Parabola,372.569,36.43775,36.50075,34.1735,1060,-5.3275,10.0275,1067.245,23590.755,610.485,2021-05-31 09:39:17
A,10,A10,3,101,1,None,1,CaMPARI2-F391W,2,Pre-Parabola,234.7727,36.33075,36.321,33.8335,1023,-0.4475,12.995,1062.3275,23759.69,597.915,2021-05-31 09:44:20
A,10,A10,3,101,2,Gd3+,1,CaMPARI2-F391W,2,Pre-Parabola,273.9182,36.33075,36.321,33.8335,1023,-0.4475,12.995,1062.3275,23759.69,597.915,2021-05-31 09:44:20
A,10,A10,3,102,1,Thapsigargin,1,CaMPARI2-F391W,2,Pre-Parabola,561.845,36.517,36.50775,34.4615,1058.005,6.4525,39.04,1090.095,23745.89,606.96,2021-05-31 09:44:21
A,10,A10,3,102,2,Flunarizine,1,CaMPARI2-F391W,2,Pre-Parabola,229.1349,36.517,36.50775,34.4615,1058.005,6.4525,39.04,1090.095,23745.89,606.96,2021-05-31 09:44:21
A,10,A10,3,103,1,Ruthenium Red,1,CaMPARI2-F391W,2,Pre-Parabola,338.8884,36.595,36.55375,34.62075,1028,8.6325,-1.3075,1063.2175,23802.8725,589.7825,2021-05-31 09:44:19
A,10,A10,3,103,2,GSK2193874,1,CaMPARI2-F391W,2,Pre-Parabola,352.9766,36.595,36.55375,34.62075,1028,8.6325,-1.3075,1063.2175,23802.8725,589.7825,2021-05-31 09:44:19
A,10,A10,3,104,1,BAPTA,1,CaMPARI2-F391W,2,Pre-Parabola,347.8872,36.5045,36.5,34.238,1072.55,1.43,10.9175,1060.1675,23548.205,612.825,2021-05-31 09:44:20
A,10,A10,3,104,2,DMSO,1,CaMPARI2-F391W,2,Pre-Parabola,303.1121,36.5045,36.5,34.238,1072.55,1.43,10.9175,1060.1675,23548.205,612.825,2021-05-31 09:44:20
A,11,A11,1,101,1,None,1,CaMPARI2-F391W,1,Pull-up,396.361,36.8125,36.8045,33.9095,1028.0775,-14.4375,162.9525,1828.05,23733.125,602.965,2021-05-31 09:42:08
A,11,A11,1,101,2,Gd3+,1,CaMPARI2-F391W,1,Pull-up,368.0032,36.8125,36.8045,33.9095,1028.0775,-14.4375,162.9525,1828.05,23733.125,602.965,2021-05-31 09:42:08
A,11,A11,1,102,1,Thapsigargin,1,CaMPARI2-F391W,1,Pull-up,696.9764,36.842,36.84175,34.4165,1072.4,1.5675,167.71,1871.345,23661.7675,616.1175,2021-05-31 09:42:08
A,11,A11,1,102,2,Flunarizine,1,CaMPARI2-F391W,1,Pull-up,393.1778,36.842,36.84175,34.4165,1072.4,1.5675,167.71,1871.345,23661.7675,616.1175,2021-05-31 09:42:08
A,11,A11,1,103,1,Ruthenium Red,1,CaMPARI2-F391W,1,Pull-up,275.2219,36.80925,36.79375,33.672,1033,-10.15,154.56,1852.12,23784.185,593.78,2021-05-31 09:42:08
A,11,A11,1,103,2,GSK2193874,1,CaMPARI2-F391W,1,Pull-up,441.7534,36.80925,36.79375,33.672,1033,-10.15,154.56,1852.12,23784.185,593.78,2021-05-31 09:42:08
A,11,A11,1,104,1,BAPTA,1,CaMPARI2-F391W,1,Pull-up,338.2184,36.78275,36.79475,33.4955,1064.875,-21.94,136.9375,1832.165,23574.885,616.785,2021-05-31 09:42:07
A,11,A11,1,104,2,DMSO,1,CaMPARI2-F391W,1,Pull-up,198.0839,36.78275,36.79475,33.4955,1064.875,-21.94,136.9375,1832.165,23574.885,616.785,2021-05-31 09:42:07
A,11,A11,2,101,1,None,1,CaMPARI2-F391W,1,Pull-up,648.7338,36.8215,36.80475,34.0175,1023.2825,1.4225,171.085,1870.95,23757.62,603.62,2021-05-31 09:40:06
A,11,A11,2,101,2,Gd3+,1,CaMPARI2-F391W,1,Pull-up,307.5823,36.8215,36.80475,34.0175,1023.2825,1.4225,171.085,1870.95,23757.62,603.62,2021-05-31 09:40:06
A,11,A11,2,102,1,Thapsigargin,1,CaMPARI2-F391W,1,Pull-up,420.096,36.8255,36.826,34.1055,1069.1525,8.6725,182.95,1910.2675,23740.255,612.915,2021-05-31 09:40:05
A,11,A11,2,102,2,Flunarizine,1,CaMPARI2-F391W,1,Pull-up,479.9767,36.8255,36.826,34.1055,1069.1525,8.6725,182.95,1910.2675,23740.255,612.915,2021-05-31 09:40:05
A,11,A11,2,103,1,Ruthenium Red,1,CaMPARI2-F391W,1,Pull-up,277.1514,36.814,36.82225,34.05925,1031.575,-0.8125,139.6225,1886.1975,23716.795,595.1875,2021-05-31 09:40:06
A,11,A11,2,103,2,GSK2193874,1,CaMPARI2-F391W,1,Pull-up,452.9757,36.814,36.82225,34.05925,1031.575,-0.8125,139.6225,1886.1975,23716.795,595.1875,2021-05-31 09:40:06
A,11,A11,2,104,1,BAPTA,1,CaMPARI2-F391W,1,Pull-up,231.6902,36.803,36.8095,33.87325,1059.205,-15.67,152.785,1873.6925,23589.72,615.855,2021-05-31 09:40:05
A,11,A11,2,104,2,DMSO,1,CaMPARI2-F391W,1,Pull-up,307.3847,36.803,36.8095,33.87325,1059.205,-15.67,152.785,1873.6925,23589.72,615.855,2021-05-31 09:40:05
A,11,A11,3,101,1,None,1,CaMPARI2-F391W,1,Pull-up,241.1504,36.78975,36.77875,33.55,1022.9975,-5.575,165.7225,1825.91,23757.6775,603.2775,2021-05-31 09:45:04
A,11,A11,3,101,2,Gd3+,1,CaMPARI2-F391W,1,Pull-up,274.1686,36.78975,36.77875,33.55,1022.9975,-5.575,165.7225,1825.91,23757.6775,603.2775,2021-05-31 09:45:04
A,11,A11,3,102,1,Thapsigargin,1,CaMPARI2-F391W,1,Pull-up,435.9583,36.8275,36.82075,34.13325,1058,2.0875,183.18,1872.9075,23741.3475,612.3375,2021-05-31 09:45:07
A,11,A11,3,102,2,Flunarizine,1,CaMPARI2-F391W,1,Pull-up,370.8409,36.8275,36.82075,34.13325,1058,2.0875,183.18,1872.9075,23741.3475,612.3375,2021-05-31 09:45:07
A,11,A11,3,103,1,Ruthenium Red,1,CaMPARI2-F391W,1,Pull-up,324.1375,36.84325,36.82975,34.325,1028,7.1175,135.5125,1824.41,23805.7475,593.4625,2021-05-31 09:45:03
A,11,A11,3,103,2,GSK2193874,1,CaMPARI2-F391W,1,Pull-up,417.5177,36.84325,36.82975,34.325,1028,7.1175,135.5125,1824.41,23805.7475,593.4625,2021-05-31 09:45:03
A,11,A11,3,104,1,BAPTA,1,CaMPARI2-F391W,1,Pull-up,404.491,36.8145,36.81175,33.9515,1072,-2.975,149.17,1821.0525,23548.8375,617.3975,2021-05-31 09:45:03
A,11,A11,3,104,2,DMSO,1,CaMPARI2-F391W,1,Pull-up,378.9004,36.8145,36.81175,33.9515,1072,-2.975,149.17,1821.0525,23548.8375,617.3975,2021-05-31 09:45:03
A,12,A12,1,101,1,None,1,CaMPARI2-F391W,2,Pull-up,443.8391,36.65775,36.644,34.36075,1028.6725,-14,195.8475,1699.3475,23732.8375,602.515,2021-05-31 09:42:16
A,12,A12,1,101,2,Gd3+,1,CaMPARI2-F391W,2,Pull-up,281.1727,36.65775,36.644,34.36075,1028.6725,-14,195.8475,1699.3475,23732.8375,602.515,2021-05-31 09:42:16
A,12,A12,1,102,1,Thapsigargin,1,CaMPARI2-F391W,2,Pull-up,687.2311,36.70675,36.70575,34.879,1072.9375,8.465,200.7175,1732.265,23662.9175,613.455,2021-05-31 09:42:16
A,12,A12,1,102,2,Flunarizine,1,CaMPARI2-F391W,2,Pull-up,751.9197,36.70675,36.70575,34.879,1072.9375,8.465,200.7175,1732.265,23662.9175,613.455,2021-05-31 09:42:16
A,12,A12,1,103,1,Ruthenium Red,1,CaMPARI2-F391W,2,Pull-up,318.084,36.64075,36.61675,34.128,1033,-3.64,180.38,1643.335,23786.1975,593.555,2021-05-31 09:42:16
A,12,A12,1,103,2,GSK2193874,1,CaMPARI2-F391W,2,Pull-up,390.7183,36.64075,36.61675,34.128,1033,-3.64,180.38,1643.335,23786.1975,593.555,2021-05-31 09:42:16
A,12,A12,1,104,1,BAPTA,1,CaMPARI2-F391W,2,Pull-up,775.8984,36.5595,36.609,33.93375,1064.995,-23.11,175.0575,1748.2425,23571.8375,614.83,2021-05-31 09:42:15
A,12,A12,1,104,2,DMSO,1,CaMPARI2-F391W,2,Pull-up,309.0453,36.5595,36.609,33.93375,1064.995,-23.11,175.0575,1748.2425,23571.8375,614.83,2021-05-31 09:42:15
A,12,A12,2,101,1,None,1,CaMPARI2-F391W,2,Pull-up,480.1422,36.6865,36.62325,34.487,1023.9175,-5.3025,211.0375,1730.39,23748.765,601.7725,2021-05-31 09:40:14
A,12,A12,2,101,2,Gd3+,1,CaMPARI2-F391W,2,Pull-up,286.218,36.6865,36.62325,34.487,1023.9175,-5.3025,211.0375,1730.39,23748.765,601.7725,2021-05-31 09:40:14
